	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	1	1	3	0	2	2	0	0	0	0	0	0	0	0	0
OTU1893	0	0	0	0	0	0	0	0	0	19	2	9	7	0	3	0	0	0	2	2	10	2	2	2	0	0	0	5	0	4	3	5
OTU1894	0	0	0	0	3	3	2	2	1	0	3	0	2	5	1	1	0	1	4	0	2	0	4	1	4	0	2	0	0	0	0	1
OTU1896	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1897	0	0	0	0	3	0	6	4	2	0	3	0	1	1	2	4	1	0	2	4	7	3	0	7	0	0	1	0	0	0	0	0
OTU1898	0	0	0	10	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1899	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1
OTU19	0	0	0	0	0	0	0	0	1	0	2	2	0	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
OTU190	97	167	162	151	489	161	304	411	279	375	100	253	90	233	278	302	227	187	84	41	83	22	205	64	146	471	547	356	148	240	62	95
OTU1901	0	1	1	4	3	2	1	10	7	13	6	13	1	5	6	3	12	21	2	17	14	3	6	6	5	4	6	2	5	10	5	7
OTU1902	2	3	2	5	20	6	3	8	8	13	12	4	5	2	4	0	4	3	4	3	4	2	3	3	4	3	5	8	1	3	1	2
OTU1904	2	1	2	2	2	1	4	0	2	1	4	5	1	2	7	11	29	27	12	8	17	17	10	2	13	2	6	21	3	5	11	2
