	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU2043	15	27	23	58	320	415	255	442	337	449	284	607	518	529	730	307	554	524	316	339	390	24	518	630	429	326	567	599	406	379	602	432
OTU2044	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU2045	1	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	2	3	0	2	0	0	0	4	2	2	2	0	0
OTU2047	0	0	0	0	2	9	7	10	4	1	3	0	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	38	36	23
OTU2049	0	0	0	0	0	0	0	0	0	0	1	0	1	2	7	0	1	0	1	6	0	1	27	0	220	10	6	0	0	0	0	0
OTU205	0	0	0	0	2	4	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU2050	6	9	10	4	30	18	39	23	23	54	47	22	19	61	33	12	27	63	63	39	121	90	116	73	54	35	101	19	14	14	21	13
OTU2051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2052	0	2	1	3	0	3	1	5	4	1	2	1	0	3	3	0	0	1	3	0	0	1	4	0	0	0	2	6	0	0	0	1
OTU2053	0	0	0	0	3	4	0	2	0	2	1	0	0	0	8	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0
OTU2054	5	18	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2056	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2058	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	3	2	2	0	1
OTU2059	4	5	3	4	1	0	0	4	4	5	1	6	1	0	1	2	0	2	0	1	0	0	0	0	1	0	0	1	9	1	2	0
OTU206	44	33	26	1	0	21	24	0	2	5	7	0	4	1	0	5	4	1	4	4	4	1	15	103	27	24	11	1	12	46	0	4
OTU2060	0	0	0	0	0	1	1	3	6	6	17	3	22	2	2	3	1	6	2	5	3	1	0	0	0	0	0	0	0	0	0	0
OTU2061	0	1	0	3	0	0	4	3	3	4	0	1	1	1	0	4	1	1	0	3	1	0	1	0	2	2	1	0	1	0	1	2
OTU2062	0	0	2	2	3	3	0	8	1	10	5	2	7	0	7	0	6	23	9	3	4	2	3	0	3	0	2	0	0	0	0	0
OTU2064	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU2066	0	0	0	0	0	1	1	1	0	0	3	0	1	2	0	0	1	0	1	0	0	0	0	2	1	0	1	3	0	0	0	0
OTU2067	2	2	4	2	11	5	2	3	3	7	6	7	4	15	4	19	18	2	0	1	5	2	5	0	3	3	3	7	6	7	9	7
OTU207	9	12	5	15	35	23	38	32	40	44	45	44	37	14	38	33	37	26	83	29	41	5	40	5	36	38	49	18	7	4	1	4
OTU2071	0	1	0	1	4	0	5	0	1	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2072	1	0	1	0	1	1	1	0	2	1	1	1	3	1	3	1	2	2	0	0	1	2	0	2	3	0	4	2	0	0	0	0
OTU2073	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
OTU2076	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU2077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
OTU2078	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
OTU2079	2	2	0	2	3	1	1	15	1	3	8	4	6	3	6	2	14	3	23	11	3	3	6	8	5	2	7	2	0	9	6	2
OTU208	0	0	0	0	0	0	6	0	2	3	2	13	7	3	1	7	10	3	5	8	12	0	55	42	25	4	5	10	29	30	19	10
OTU2081	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU2083	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2084	8	13	36	29	12	8	8	3	17	43	107	25	19	42	35	28	40	104	54	106	293	14	111	19	338	182	225	833	207	172	54	47
OTU2085	0	0	0	0	0	0	0	1	7	0	0	0	1	0	0	0	5	4	0	2	1	0	0	0	0	0	0	0	0	3	5	0
OTU2086	0	2	3	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2087	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2088	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	2	0	1	0	1	3	1	0	1	0	0	2	0	0
OTU2089	0	0	0	0	2	0	0	0	1	3	4	4	1	3	1	1	1	0	5	1	1	0	1	0	0	2	3	2	1	2	0	1
OTU2090	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU2092	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2093	0	0	0	11	1	6	112	1	0	1	4	0	11	0	0	0	1	0	5	4	12	0	17	0	2	2	3	0	2	12	0	1
OTU2094	0	0	0	0	0	2	2	5	2	0	19	4	2	0	0	0	0	0	5	5	0	0	0	0	2	1	2	0	1	4	2	1
OTU2095	6	7	11	5	22	31	16	23	17	57	66	59	32	39	23	15	22	26	14	43	18	8	28	1	23	8	15	12	11	23	10	17
OTU2096	3	0	0	1	1	0	0	0	0	0	7	1	0	1	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0
OTU2097	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU2099	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21	2	1	2	1	0	0	0	3	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	4	3	3
OTU210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU2100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
OTU2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	1	13	0	3
OTU2102	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
OTU2103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
OTU2104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	1	1	0	0	0	0
OTU2105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	2	5	6	1	0	0	0	0
OTU2107	2	5	8	0	0	4	7	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	61	1	3	0	4	0	8	0	1
OTU2108	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	2	0	3	1	0	0	1	0	1	1	1	0	0	0	1	0
OTU2109	12	4	3	3	4	1	1	1	0	2	1	4	2	2	1	5	1	1	1	2	1	1	7	0	5	2	2	7	5	3	4	2
OTU211	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2110	14	198	115	242	5	16	64	11	47	39	18	19	4	0	59	205	16	0	0	0	0	0	0	0	14	0	0	18	12	3	0	0
OTU2111	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
OTU2113	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	6	2	20	0	0	0	0	0	0	0	0	0	0	0	2	2
OTU2115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2116	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	0	1
OTU2117	0	8	4	12	295	406	553	237	280	436	62	177	135	188	28	51	124	148	62	155	237	31	1174	6	330	303	362	83	184	119	31	25
OTU2118	10	8	53	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU212	0	1	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2120	86	176	124	121	48	67	30	36	48	88	159	80	117	52	34	42	27	26	14	8	31	4	21	30	52	32	87	16	7	59	53	50
OTU2121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2122	6	9	40	240	6	2	2	5	22	3	3	1	0	0	22	10	19	2	0	0	0	0	0	0	1	1	2	0	0	8	1	3
OTU2123	0	0	0	0	0	0	1	0	2	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2124	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2126	12	0	0	0	0	0	0	0	1	18	0	46	1	0	0	0	1	60	17	28	0	13	0	0	0	20	11	13	0	12	20	5
OTU2127	2	6	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	0	0	0	0	0
OTU2128	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU213	0	0	0	0	3	2	1	3	1	6	8	7	2	1	1	2	3	1	3	1	5	0	1	4	3	2	7	6	8	5	16	10
OTU2130	11	20	14	7	74	8	11	16	10	14	18	9	23	26	21	16	25	20	12	17	18	11	17	14	61	36	81	20	7	66	12	30
OTU2132	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	25	3	3	1	1	0	0	1	0
OTU2134	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	9	2	4	0	1	0	0	0	0	0	0	0	2	0	2	0	0
OTU2135	1	0	0	0	3	1	2	0	1	0	4	1	0	0	0	0	1	3	2	2	1	0	2	4	10	0	5	4	0	0	0	0
OTU2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
OTU2137	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
OTU214	0	0	0	0	3	1	3	1	4	0	0	2	2	1	5	2	4	11	6	2	7	3	1	0	2	2	2	0	0	0	2	2
OTU2140	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU2141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0
OTU2142	5	2	4	2	2	2	0	5	2	0	5	1	1	1	1	2	2	1	1	0	5	7	0	12	2	2	1	3	2	1	0	7
OTU2143	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2144	3	4	4	5	2	3	0	8	4	1	1	3	16	3	41	9	22	28	24	23	31	0	15	28	20	48	46	43	109	74	203	157
OTU2146	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2147	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	5	1	0
OTU2148	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2149	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	6	0	0	0	0	1	1	2	0	0	0	0	0	0	0
OTU2150	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2151	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU2152	0	0	0	1	9	10	14	6	23	27	22	11	1	9	1	1	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0
OTU2153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	2	8	0	0	0	0	0	0	0	0	0	0
OTU2154	7	11	5	0	10	1	6	3	15	0	17	0	0	2	0	0	0	3	1	4	0	1	16	0	1	8	2	9	13	5	1	2
OTU2155	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2156	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0
OTU2157	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2158	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2159	1	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU216	2	4	8	3	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	3
OTU2161	1	3	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2163	3	2	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU2164	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2165	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU2166	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2167	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0
OTU2169	5	6	4	10	87	9	75	129	78	24	56	50	20	14	67	3	2	6	10	8	22	24	32	1	39	41	47	0	0	0	0	0
OTU217	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2170	0	2	0	0	0	0	1	0	0	0	0	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1
OTU2171	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU2173	1	1	0	1	5	1	2	2	2	0	1	3	5	1	0	0	0	1	0	0	0	0	0	7	2	2	4	13	1	1	1	2
OTU2174	0	0	0	0	1	0	0	0	0	3	0	5	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1
OTU2176	5	2	3	9	12	16	10	16	13	22	17	28	36	37	11	17	11	12	4	7	13	8	3	5	3	7	9	2	6	6	20	14
OTU2177	0	0	0	0	6	0	0	6	0	12	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
OTU218	0	0	0	0	12	4	13	7	17	9	35	52	19	22	0	0	8	2	57	10	3	2	1	44	7	0	2	15	24	26	27	19
OTU2180	3	6	6	8	20	3	8	9	13	12	7	29	6	9	19	6	16	31	3	5	13	24	7	3	10	11	15	10	9	9	9	8
OTU2181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU2182	217	89	114	24	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	25	0	0	0	0	0	2	1	0	0	0
OTU2183	0	2	0	1	0	0	4	0	2	2	7	1	0	3	0	3	0	2	4	4	0	0	0	0	1	0	8	3	2	4	0	1
OTU2184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
OTU2185	49	28	64	32	17	29	13	0	6	8	8	6	12	4	3	48	19	6	9	1	15	6	47	20	46	74	60	101	45	66	48	53
OTU2186	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU2187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU2188	1	16	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2189	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU219	447	471	367	186	22	28	14	6	2	0	1	1	4	1	1	1	5	3	2	4	1	15	5	42	14	7	14	71	84	112	117	36
OTU2191	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2194	1	9	3	7	33	21	15	34	29	20	28	26	37	27	22	8	16	17	5	21	12	2	13	7	16	5	7	7	4	36	56	43
OTU2195	15	25	16	47	493	513	137	326	346	201	50	69	45	154	146	18	120	54	33	41	120	2	140	1	58	31	34	4	0	60	37	14
OTU2196	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2197	16	4	3	0	0	0	1	0	2	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU2198	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU2199	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
OTU22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU220	1	2	4	13	6	12	7	0	4	3	0	2	4	4	2	11	5	3	4	12	5	0	17	32	37	25	20	29	15	52	22	9
OTU2201	0	0	0	0	7	20	19	10	16	75	26	42	12	8	0	0	5	1	3	0	1	0	8	18	12	9	8	32	14	28	4	5
OTU2202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1
OTU2204	3	1	0	3	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0
OTU2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2207	1	0	0	0	0	1	3	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	12	0	4	2	5	0	0	0	0
OTU2208	0	0	0	0	0	0	16	0	3	1	0	11	10	20	1	14	12	37	10	35	70	4	43	0	2	10	3	0	0	3	0	1
OTU2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU2210	0	0	0	0	0	0	2	1	3	0	1	2	2	1	0	0	0	2	2	0	1	3	0	1	1	0	1	1	0	0	1	0
OTU2211	39	25	55	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	16	2	0	0	0	0
OTU2212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
OTU2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU2215	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2
OTU2216	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2217	8	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2218	31	81	70	106	22	36	25	27	10	4	11	8	6	13	5	16	32	25	12	8	38	17	23	7	26	2	19	51	3	3	2	2
OTU2219	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU222	0	1	0	0	0	1	0	1	2	0	1	2	4	0	0	0	1	2	1	2	1	1	3	1	1	0	2	3	0	0	0	5
OTU2221	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU2222	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	7	2	2	0	3
OTU2223	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2224	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2225	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2226	0	2	0	2	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	3	1	3	4	0	0	3	2	10
OTU2227	0	0	0	0	1	0	1	1	0	0	0	2	0	4	3	3	1	2	3	4	0	0	1	0	3	4	0	1	5	3	4	6
OTU2228	18	29	10	4	11	8	4	26	22	15	34	30	34	51	15	3	15	28	2	6	27	5	6	2	10	1	16	14	24	25	11	13
OTU2229	2	7	3	21	8	13	6	20	9	2	5	6	10	3	6	18	6	14	6	13	9	2	10	0	7	4	9	2	3	6	12	3
OTU223	2	0	0	0	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	3	0	0
OTU2230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	4
OTU2231	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2232	0	0	1	7	5	5	2	2	10	2	0	7	4	3	1	1	3	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0
OTU2233	0	0	0	1	0	7	0	2	7	3	4	3	2	3	1	13	17	8	1	11	2	0	3	28	5	4	6	3	4	1	7	3
OTU2234	0	0	0	8	10	6	9	13	12	2	12	5	2	0	0	0	1	0	0	0	3	0	2	0	0	2	2	28	2	0	0	0
OTU2236	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2237	3	0	0	3	4	2	7	4	7	0	22	0	2	6	2	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
OTU2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU2240	1	0	0	0	0	0	3	0	0	0	0	4	3	0	3	2	0	1	1	0	0	10	0	0	2	0	2	0	0	0	0	0
OTU2241	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU2244	3	0	25	9	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2245	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU2246	3	4	4	2	4	2	7	3	2	3	4	8	0	7	6	12	1	2	1	3	1	5	5	0	15	4	1	5	1	4	6	16
OTU2247	1	0	0	0	0	0	0	0	1	0	0	2	0	1	3	2	1	0	0	0	0	0	3	0	3	3	2	11	0	0	0	0
OTU2248	0	0	0	4	4	0	0	1	0	0	3	0	0	1	1	1	5	2	0	3	5	1	0	0	0	0	0	0	0	0	0	0
OTU2249	0	0	0	0	0	0	0	0	1	1	4	2	1	0	0	0	0	1	0	0	0	0	0	3	2	0	0	4	0	0	0	0
OTU225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2250	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2251	0	1	0	0	0	0	1	6	7	0	0	1	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2252	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
OTU2254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU2255	0	0	0	0	0	0	0	1	2	3	2	0	2	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
OTU2256	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU2257	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2258	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	3	0	1	1	0	1
OTU2259	0	0	0	1	6	5	0	0	1	0	7	2	0	9	0	0	9	0	6	0	0	0	0	0	0	0	0	3	0	0	0	2
OTU226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
