#OTU	S0701	S0702	S0703	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
OTU77	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU777	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0
OTU566	0	0	0	0	0	0	0	0	0	0	0	295	96	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU287	12	1	5	2	3	0	0	0	0	0	0	23	7	0	0	0	1	2	0	1	0	0	0	0	3	0	0	0	1	1
OTU12	28	0	0	2	41	0	1	0	0	1	0	79	9	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU248	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
OTU1332	0	0	3	4	3	2	5	5	1	1	0	6	3	2	0	4	1	2	3	0	3	1	1	0	2	2	2	3	19	0
OTU259	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU311	4	1	0	1	3	1	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU398	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU783	0	0	0	0	0	2	4	1	0	0	2	0	0	1	5	1	0	3	6	2	0	0	1	0	3	0	0	0	0	1
OTU1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU176	15	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1253	7	33	42	7	49	28	43	12	25	178	44	25	5	41	75	48	83	41	165	10	19	55	51	3	104	27	63	74	2	52
OTU1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	1	0	0	0
OTU1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4	1	1	0	0	1
OTU1218	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU157	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU922	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU975	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	7	0	8	10	32	8	16	3	10	9
OTU414	3	4	8	9	15	8	11	9	2	4	2	2	3	2	0	0	0	0	0	0	1	5	0	0	1	0	0	1	6	1
OTU681	0	0	0	0	0	1	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU866	0	4	1	9	9	1	4	2	2	2	2	3	2	1	3	2	0	0	3	2	0	1	0	0	0	0	1	0	1	0
OTU1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU968	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1153	0	0	0	3	3	2	3	2	10	4	7	6	0	13	8	1	1	0	4	0	5	19	14	19	28	15	5	26	6	3
OTU545	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU280	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU269	43	31	48	52	82	108	46	51	68	171	99	134	87	115	44	59	89	83	84	66	100	100	141	94	149	33	67	56	11	52
OTU7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU528	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU580	0	0	1	0	0	2	2	1	1	0	0	0	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0
OTU1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	3	4	0	1	0
OTU216	10	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	43	54	38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
OTU427	0	0	0	3	8	8	13	7	19	3	12	4	2	3	0	0	2	4	1	3	0	0	1	1	2	0	0	0	0	0
OTU861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU678	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	5	0
OTU1419	12	0	0	2	15	0	1	2	1	0	0	16	21	0	1	1	11	0	3	0	4	9	13	16	95	16	12	21	75	66
OTU165	1035	3299	48	982	1274	521	405	189	91	64	224	219	20	30	12	28	44	37	13	18	7	24	8	3	33	16	10	30	5	22
OTU895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
OTU314	2	2	3	2	11	13	13	8	19	11	16	13	14	10	9	18	9	14	12	8	18	12	4	4	4	23	9	13	13	21
OTU33	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU586	8	5	90	17	16	27	22	59	23	69	109	74	53	20	10	15	64	16	23	11	19	21	3	18	13	14	5	15	27	8
OTU415	1	3	1	4	8	14	20	11	13	5	22	11	1	17	0	8	10	5	7	7	2	0	1	1	0	0	0	1	4	1
OTU641	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU570	2	3	1	20	32	26	27	21	26	16	17	26	39	39	13	41	26	24	17	19	33	17	22	16	16	8	6	37	120	39
OTU474	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1159	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	8	17	38	43	34	18	15	22	39	17
OTU4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU223	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
OTU413	0	0	1	6	8	10	11	18	5	0	6	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU443	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	2	0	1	2	0	1
OTU422	0	0	0	5	5	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1194	0	1	0	0	1	1	2	0	0	2	1	0	1	0	3	0	1	1	2	0	1	3	3	0	15	4	1	2	2	0
OTU446	1	2	3	2	2	4	3	3	4	7	2	2	2	2	5	0	7	0	0	0	0	14	0	1	1	2	4	2	5	5
OTU1393	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
