	Name	within_module_connectivities	among_module_connectivities	modularity	type
117	POTU1098	-1.138427246	0.75	3	Connectors
118	POTU1134	0.740826996	0.675925926	1	Connectors
119	POTU1147	-1.005912926	0.68877551	3	Connectors
120	POTU1188	1.232481933	0.671077505	1	Connectors
121	POTU1199	-0.979965282	0.75	1	Connectors
122	POTU1283	-0.242482877	0.703703704	1	Connectors
123	POTU1366	-1.182598686	1	3	Connectors
124	POTU1367	-1.22579275	0.75	1	Connectors
125	POTU137	1.72413687	0.698125	1	Connectors
126	POTU1420	-0.979965282	0.75	1	Connectors
127	POTU219	-0.785055725	0.653979239	3	Connectors
128	POTU228	-0.242482877	0.679012346	1	Connectors
129	POTU274	0.003344591	0.65	1	Connectors
130	POTU294	-1.22579275	0.6875	1	Connectors
131	POTU305	0.24917206	0.68877551	1	Connectors
132	POTU314	-0.979965282	0.75	1	Connectors
133	POTU365	-0.873398605	0.688581315	3	Connectors
134	POTU439	-0.488310345	0.728395062	1	Connectors
135	POTU444	-0.486579343	0.632	2	Connectors
136	POTU457	2.953274212	0.421550095	1	Module hubs
137	POTU462	-1.182598686	1	3	Connectors
138	POTU500	-0.734137814	0.728395062	1	Connectors
139	POTU508	-1.451508357	0.75	2	Connectors
140	POTU513	-1.182598686	1	3	Connectors
141	POTU527	-0.762273347	0.6544	2	Connectors
142	POTU551	-0.917570046	0.652892562	3	Connectors
143	POTU569	0.003344591	0.645833333	1	Connectors
144	POTU571	1.478309402	0.638429752	1	Connectors
145	POTU576	0	0.67	5	Connectors
146	POTU581	-1.005912926	0.715976331	3	Connectors
147	POTU604	0.003344591	0.645833333	1	Connectors
148	POTU625	0.003344591	0.62962963	1	Connectors
149	POTU636	-0.242482877	0.679012346	1	Connectors
150	POTU673	-0.564198525	0.708477509	3	Connectors
151	POTU691	-0.96904385	0.647959184	2	Connectors
152	POTU700	-0.734137814	0.76	1	Connectors
153	POTU714	-1.138427246	0.75	3	Connectors
154	POTU722	-0.488310345	0.6375	1	Connectors
155	POTU741	-0.242482877	0.6875	1	Connectors
156	POTU752	-0.961741486	0.65	3	Connectors
157	POTU772	1.969964338	0.651577503	1	Connectors
158	POTU825	-0.577350269	1	6	Connectors
159	POTU828	0.986654465	0.62654321	1	Connectors
160	POTU905	-1.451508357	1	2	Connectors
161	POTU976	0.494999528	0.671111111	1	Connectors
162	POTU996	-0.29448407	0.67	4	Connectors
163	POTU999	-0.979965282	0.777777778	1	Connectors
