group	mean
B	0.496119929
B	0.494197531
B	0.492451499
B	0.491340388
B	0.490564374
B	0.488183422
B	0.486243386
B	0.484938272
B	0.48345679
B	0.481657848
B	0.480546737
B	0.478342152
B	0.477548501
B	0.475573192
B	0.474250441
B	0.472698413
B	0.470811287
B	0.469241623
B	0.467971781
B	0.46627866
B	0.464673721
B	0.462945326
B	0.461604938
B	0.46005291
B	0.458553792
C	0.998161889
C	0.996408094
C	0.994688027
C	0.992900506
C	0.991298482
C	0.989241147
C	0.987605396
C	0.985902192
C	0.98391231
C	0.982293423
C	0.980438449
C	0.978870152
C	0.976610455
C	0.975227656
C	0.973372681
C	0.971804384
C	0.969865093
C	0.96762226
C	0.966070826
C	0.964367622
C	0.962900506
C	0.960640809
C	0.959376054
C	0.957571669
C	0.956053963
C	0.953878583
C	0.951905565
C	0.950168634
C	0.948482293
C	0.946711636
C	0.944974705
C	0.942866779
C	0.94148398
C	0.939831366
C	0.938650927
C	0.935834739
C	0.934266442
C	0.932681282
C	0.931180438
C	0.928937605
C	0.927200675
C	0.9253457
C	0.92381113
C	0.921939292
C	0.920134907
C	0.918735245
C	0.916627319
C	0.915160202
C	0.913035413
C	0.911197302
C	0.910084317
C	0.907504216
C	0.906408094
C	0.904333895
C	0.902849916
C	0.901551433
C	0.899359191
C	0.897925801
C	0.895514334
C	0.89455312
C	0.892411467
C	0.891079258
C	0.889359191
C	0.887453626
C	0.885632378
C	0.884198988
C	0.882158516
C	0.880320405
C	0.878887015
C	0.877284992
C	0.874974705
C	0.87317032
C	0.872091062
C	0.870151771
C	0.868634064
C	0.866677909
C	0.865328836
C	0.863254637
C	0.861197302
C	0.859713322
C	0.858128162
C	0.856121417
C	0.854569983
C	0.853271501
C	0.851382799
C	0.8493086
C	0.847757167
C	0.846374368
C	0.844721754
C	0.842563238
C	0.841062395
C	0.839561551
C	0.837470489
C	0.835750422
C	0.834198988
C	0.832664418
C	0.830725126
C	0.829578415
C	0.828229342
C	0.82623946
C	0.824721754
C	0.822445194
C	0.820893761
C	0.818836425
C	0.817436762
C	0.815750422
C	0.814182125
C	0.812681282
C	0.810978078
C	0.809510961
C	0.807892074
C	0.806053963
C	0.804536256
C	0.80306914
C	0.801146712
C	0.799409781
C	0.797554806
C	0.796155143
C	0.794350759
C	0.793187184
C	0.79084317
C	0.789966273
C	0.78851602
C	0.786374368
C	0.785430017
C	0.783187184
C	0.781416526
C	0.779662732
C	0.778296796
C	0.776897133
C	0.774890388
C	0.773794266
C	0.771804384
C	0.770472175
C	0.768718381
C	0.767015177
C	0.765935919
C	0.763676223
C	0.762023609
C	0.760623946
C	0.7593086
C	0.757588533
C	0.75623946
C	0.75450253
C	0.752546374
C	0.751332209
C	0.749645868
C	0.748482293
C	0.746677909
C	0.7453457
C	0.743608769
C	0.742175379
C	0.740387858
C	0.738634064
C	0.737537943
C	0.735767285
C	0.734384486
C	0.732580101
C	0.731197302
C	0.729696459
C	0.728161889
C	0.726627319
C	0.725126476
D	0.998052632
D	0.995947368
D	0.994140351
D	0.992
D	0.990122807
D	0.987964912
D	0.98622807
D	0.984122807
D	0.982385965
D	0.980210526
D	0.978526316
D	0.976192982
D	0.974157895
D	0.972614035
D	0.970631579
D	0.968438596
D	0.966859649
D	0.964789474
D	0.962614035
D	0.960561404
D	0.958526316
D	0.956877193
D	0.954245614
D	0.953421053
D	0.951263158
D	0.948964912
D	0.947210526
D	0.944877193
D	0.943087719
D	0.941298246
D	0.939017544
D	0.937315789
D	0.935263158
D	0.932596491
D	0.931403509
D	0.929210526
D	0.92722807
D	0.92554386
D	0.92345614
D	0.921491228
D	0.919754386
D	0.918473684
D	0.91554386
D	0.913421053
D	0.912578947
D	0.910280702
D	0.908315789
D	0.906350877
D	0.903385965
D	0.902263158
D	0.899491228
D	0.898508772
D	0.896666667
D	0.894912281
D	0.893473684
D	0.890982456
D	0.88945614
D	0.887491228
D	0.88445614
D	0.883017544
D	0.881052632
D	0.879298246
D	0.877719298
D	0.875140351
D	0.874280702
D	0.871526316
D	0.870280702
D	0.867684211
D	0.866614035
D	0.864666667
D	0.862280702
D	0.861210526
D	0.858298246
D	0.857263158
D	0.854
D	0.852385965
D	0.851964912
D	0.850210526
D	0.847789474
D	0.845
D	0.843122807
D	0.841719298
D	0.839192982
D	0.837017544
D	0.835578947
D	0.833350877
D	0.832035088
D	0.83
D	0.828333333
D	0.826122807
D	0.824350877
D	0.823017544
D	0.820631579
D	0.818421053
D	0.816842105
D	0.815035088
D	0.813578947
D	0.811526316
D	0.809877193
D	0.807824561
D	0.805298246
D	0.803596491
D	0.802035088
D	0.800421053
D	0.798631579
D	0.797263158
D	0.794087719
D	0.792736842
D	0.790877193
D	0.788877193
D	0.786947368
D	0.785526316
D	0.784701754
D	0.781298246
D	0.779807018
D	0.777561404
D	0.776614035
D	0.773403509
D	0.772473684
D	0.771052632
D	0.768824561
D	0.767245614
D	0.764578947
D	0.763684211
