	Name	within_module_connectivities	among_module_connectivities	modularity	type
120	EOTU235	0.595320006	0.678004535	2	Connectors
121	EOTU261	0.013187323	0.76	6	Connectors
122	EOTU269	-0.807603836	0.8125	3	Connectors
123	EOTU297	-0.9096753	1	1	Connectors
124	EOTU30	-0.418166699	0.75	5	Connectors
125	EOTU309	-0.415123467	0.765625	3	Connectors
126	EOTU31	0.447213595	0.75	11	Connectors
127	EOTU316	-0.218883283	0.671875	3	Connectors
128	EOTU320	-0.9096753	1	1	Connectors
129	EOTU321	3.313440036	0.368622449	3	Module hubs
130	EOTU323	0.013187323	0.6875	6	Connectors
131	EOTU326	-1.202662212	0.75	7	Connectors
132	EOTU333	0	0.75	15	Connectors
133	EOTU334	0.9378014	0.649234694	2	Connectors
134	EOTU340	-0.774605568	0.75	2	Connectors
135	EOTU370	-0.277537434	0.75	7	Connectors
136	EOTU376	-1.232151421	1	4	Connectors
137	EOTU38	0.986766428	0.638888889	1	Connectors
138	EOTU387	-1.00384402	0.75	3	Connectors
139	EOTU411	0.42407931	0.711934156	2	Connectors
140	EOTU415	-0.651990438	0.656804734	4	Connectors
141	EOTU424	-0.945846265	0.75	2	Connectors
142	EOTU426	-1.00384402	1	3	Connectors
143	EOTU436	-1.232151421	1	4	Connectors
144	EOTU438	-0.613421661	0.777777778	10	Connectors
145	EOTU441	-0.670820393	1	11	Connectors
146	EOTU455	-0.857175981	1	6	Connectors
147	EOTU458	0	1	17	Connectors
148	EOTU459	-0.945846265	1	2	Connectors
149	EOTU461	3.117199851	0.634319034	3	Network hubs
150	EOTU467	-0.774605568	0.75	2	Connectors
151	EOTU471	-0.945846265	1	2	Connectors
152	EOTU489	-0.022643098	0.768518519	3	Connectors
153	EOTU494	-0.945846265	1	2	Connectors
154	EOTU504	-0.115016561	0.76	10	Connectors
155	EOTU511	0	1	15	Connectors
156	EOTU534	-0.945846265	1	2	Connectors
157	EOTU539	-0.741549762	1	8	Connectors
158	EOTU56	-0.277537434	0.75	7	Connectors
159	EOTU592	-0.603364871	0.6875	2	Connectors
160	EOTU601	-0.774605568	0.75	2	Connectors
161	EOTU608	-1.00384402	1	3	Connectors
162	EOTU622	2.000174056	0.625244444	4	Connectors
163	EOTU626	-0.277528058	0.75	1	Connectors
164	EOTU635	0.383388538	0.694444444	10	Connectors
165	EOTU649	-0.945846265	0.75	2	Connectors
166	EOTU651	0.013187323	0.6875	6	Connectors
167	EOTU658	-0.945846265	0.75	2	Connectors
168	EOTU68	-0.577350269	1	14	Connectors
169	EOTU680	2.82897546	0.173182442	4	Module hubs
170	EOTU682	-1.202662212	1	7	Connectors
